"","1","Minas Gerais","Registro de Consultas de Minas Gerais, do Conselho Ultramarino, códice 244, p. 132","","1752","Marquês de Penalva (Estevão de Meneses)Alexandre Metelo de Sousa MenesesRafael Pires PardinhoAntónio Freire de Andrade HenriquesFernando Jozé Marquez BacalhouDiogo Rangel de Almeyda Castellobranco","Fazenda","04/03/1752","Resolução final em: Códice 241, p. 365","Palácio Episcopal e Seminário","","28/11/1750","","","Sobe","O Governador e Capitão General do Rio de Janeiro com o Governo das Minas Gerais dá conta do que tem obrado a respeito das obras que se lhe encarregarão da Sé de Mariana e Palácio episcopal e dito que também escreve o Bispo daquela diocese pedindo justamente se pagar os alugueis das casas em que reside [...]Carta do Governador: 28/11/1750Consulta de 28/02/1752"
"Os suplicantes afirmama que “estando mansa e pacificamente possuindo várias datas de terra, umas que se lhes deram como a mineiros pelo Superintendente, e outras que houveram por título de compra [...] e querendo os suplicantes continuar no seu trabalho minerando delas com a sua água como até ali tinham feito sem contradição de pessoa alguma se lhe opôs Francisco da Silva Coelho, e outros seus sócios, não querendo consentir que os suplicantes trabalhassem naquela terra metendo os suplicados nela as suas águas com o pretexto de que haviam comprado a dita terra com outras de grande extensão ao capitão-mor Dionísio Contrim, que as houvera por título de data facultada por seu irmão o Desembargador Diogo Cotrim servindo de superintendente daquelas minas, e como o caso não era para se decidir por um simples requerimento, mas sim pelos meios de pleito em que as partes [dissessem] o seu direito assim se efetuou, pois sobre isso corre causa entre os suplicantes e os suplicados, e nela tem os suplicantes mostrado com evidente certeza, e concludente legalidade que aquele título que os suplicados deduzem das datas concedidas ao seu vendedor o capitão mor Dionísio Cotrim era nulo e inválido pois se lhe facultaram maiores porções de terras do que pelo Regimento é permitido, e certo é em direito que tudo o que se obra não guardada a forma da lei e reputando-se por tal p regimento dado por V.M. para a repartição daquelas terras, tudo o que contra a mesma lei se obra é nullo, e de nenhum vigor, e além deste tão sólido fundamento alegam os suplicantes de igual eficácia e concludência de sorte que fazendo-se-lhes justiça necessariamente conseguiram o vencimento na causa, mas como os suplicados são pessoas muito ricas e poderosas assim nas Minas como nas mais partes do Brasil justamente receiam os suplicantes desatendida a justiça que lhe assiste venham a [?] na dita causa do que é grave, e notório o prejuízo que se lhes segue, e para que se lhes evite atenta a qualidade e gravidade do negócio, e pelo interesse que a real fazenda tem nas mesmas terras como da Coroa.”Pede para que se remeta os autos para o juízo da fazenda e coroa “cuja graça tem vossa majestade facultado em semelhantes casos a outras pessoas, e se manifesta do exemplo de que trata a certidão inclusa”.Procurador da Fazenda respondeu que “a Fazenda Real não tem interesse algum nesta causa, em que se trata de direito que [?] particulares pretendem ter sobre uma sumária, e nem [?] que o tivessem lhe pareceria justo o suprimir-se uma instância, e dar-se um aprovidência tão contrária aos meios ordinários, que a lei determina, e que só se devem seguir, sem outro fundamento, mais que dizer o suplicante que lhe não farão justiça no Brasil; sendo que ainda quando houvessem algum motivo para este mal fundado receio do suplicante, como da sentença, que se der na Relação da Bahia, há o recurso para o Juízo dos feitos da Coroa da Casa da Suplicação neste de que unicamente se fia se virá sempre a reparar o prejuízo que nos outros se lhe tiver causado; e assim lhe parece deve V. M. servir-se de escusar este requerimento, e o mais lhe parece se pode conceder ao suplicante com justiça, é o mandar-se que se sentencie a causa na instância em que se achar no termo preciso de 6 meses.”O procurador da coroa disse “que sem dúvida nenhuma respondia o mesmo”.Ao conselho parece que se deve escusar este requerimento pelos fundamentos que indicaram os Procuradores.Aos conselheiros Bacalhau, Manuel Catano Lopes de Lavre e Metelo parece o mesmo que aos procuradores.02/12/1749Metelo, Moreira, Lavre, Corte-Real, andrade, Borges, Bacalhau, CastelooBranco.","2","Partes","Livro de Registro de consultas de partes do Conselho Ultramarino, Códice 62, (1748-1751) p.  130","02/12/1749","1749","Alexandre Metelo de Sousa MenesesLuiz Borges de CarvalhoTomé Gomes MoreiraManuel Caetano Lopes de LavreTomé Joaquim da Costa Corte RealAntónio Freire de Andrade HenriquesFernando Jozé Marquez BacalhouDiogo Rangel de Almeyda Castellobranco","FazendaCoroa","22/12/1749","[Como parece aos últimos conselheiros]","Justiça (Comissões; avocação e/ou remessa de autos; apelações e agravos ordinários)","1","","","","Baixa","Satisfaz-se ao que Sua Majestade ordena sobre o requerimento do capitão Francisco Alves de Araújo e outros em que pedem se mandem remeter para este Reino, no estado que tiverem, os próprios autos em que litigam com Francisco da Silva Coelho e seus sócios."
"[Como parece. Lisboa 18 de julho de 1753. Com a rubrica de Vossa Majestade]| Sendo cometido ao Desembargador Diogo Cotrim de Souza por provisão de seis de abril de 1752 a diligência de tirar residência ao bacharel Caetano da Costa Matozo do tempo que se viu o Lugar de Ouvidor Geral de Vila Rica, satisfez o dito Desembargador a esta Comissão representando a Vossa Majestade na carta por cópia inclusa de 3[0] de agosto do mesmo ano o que havia produzido da mesma residência; e resultado do conteúdo nos papeis que se lhe remeteram para deles conhecer e perguntar nela| E mandando-se juntar à referida Carta e residência alguns papeis condicentes a esta matéria e as contas do juiz de fora da Cidade Mariana que também sobem por cópia inclusas com os seus documentos se deu de tudo vista ao Procurador da Fazenda que respondeu: se devia remeter esta residência à Correição de Crime da Corte com os seus os seus apensos e cópia das informações na forma do estilo. Que pelo que respeitava ao excesso das 8as se tomara resolução; que a restituição do depósito estava já feita, como demonstrava da conta do juiz de fora e que se fora diminuta em razão da diferença de valor e qualidade do Ouro podiam requerer as partes a sua inteira restituição que [sem este] requerimento; nem se justificar aquela falta não podia atender-se o que nesta parte se dizia. E pelo que respeitava à devassa que tirou o sindicado das pessoas que se opuseram ao depósito já [dissera] ele Procurador da Fazenda em resposta a uma conta do juiz de fora de Mariana se devia guardar sem mais se falar nesta matéria. Que a conta do Bispo de Mariana também lhe parecia intempestiva vistos os termos dos recursos, e que igualmente lhe parecia que o sindicante não fizera mal em não tomar maior conhecimento dos capítulos; conhecendo quem os tinha oferecido.| E vendo-se depois do referido o que na petição também por cópia inclusa representa a Vossa Majestade o Bacharel Sindicado Caetano da Costa Matoso a respeito dos cargos que lhe poderia arguir o juiz de fora da Cidade Mariana nas contas que vão juntas se tornou a ouvir o Procurador da Fazenda que disse: Se devia esta petição juntas as duas contas que deu o dito Juiz de Fora referindo os fatos que nela se desculpam para que a vista de tudo determine Vossa majestade o que for mais justo. Que não duvidava que o juiz de fora procedera em algumas cousas livremente: Que fizera muito mal em não cumprir a [provisão] dos agravos e que faltou ao respeito e atenção devida ao Ouvidor, mas que isto não justificava os excessos que este também fizera e que não lhe podia a ele Procurador da Fazenda parecer lícito o abrir a porta / ainda que interior/ de uma cadeia; e tirar dela os presos que estavam a ordem de outro Ministro, nem [seria] ainda autorizado este procedimento, e este modo de se fazerem cumprir e executar os despachos dos Ministros Superiores.| E mandando-se também ouvir o Procurador da Coroa, respondeu que lhe parecia o mesmo que ao Procurador da Fazenda.| O que visto| Parece ao Conselho que o sindicante Diogo Cotrin de Souza não executou as ordens que se lhe passaram para na residência do Ouvidor Caetano da Costa Matozo conhecer de várias matérias que na mesma residência se mandaram averiguar; pelo que se devia mandar tirar nova residência em que se examine todo o procedimento do Sindicado tanto a respeito da matéria  dos Capítulos, como das contas e informações do Juiz de Fora de Mariana que notoriamente é suspeito ao sindicado pelas controvérsias que entre eles tem havido, devendo expressamente perguntar-se na mesma residência pelo arrombamento da Cadeia da Cidade de mariana pela falta de cumprimento da ordem que proíbe levar-se oitavas de ouro aos que tem cumprido a obrigação de aferirem os pesos e medidas, e da restituição  destas oitavas, e sobre o cumprimento da Ordem que regula as propinas que devem levar os oficiais das câmaras, a qual devia o Sindicado apresentar ao Sindicante o que não cumpriu; Desta diligencia pode Vossa Majestade sendo servido cometer ao Desembargador Manoel da Fonseca Brandão, e em sua ausência, ou impedimento a Ignácio da Cunha de [?], e na de ambos ao Desembargador que nomear o Governador e Capitão General Gomes Freire de Andrade, e mesmo , e mesmo Desembargador que tirar esta residência pode informar com seu parecer sobre os fatos, de que o Sindicado se queixa para a vista de tudo Vossa Majestade resolver o que for servido. Lisboa 2 de junho de 1753. Marquês de Penalva; Mettelo; Corte real; Pardinho; Andrade; Castellobranco; Costa.******** Associa-se a consulta anterior que ordenou a feitura de residência do ouvidor de Vila Rica.[Pág. 139 A]","3","Minas GeraisCapitania","Registro de Consultas de Minas Gerais, do Conselho Ultramarino, códice 244. pp. 139","02/06/1753","1753","Marquês de Penalva (Estevão de Meneses)Alexandre Metelo de Sousa MenesesRafael Pires PardinhoTomé Joaquim da Costa Corte RealAntónio Freire de Andrade HenriquesDiogo Rangel de Almeyda CastellobrancoAntónio Lopes da Costa","FazendaCoroa","18/07/1753","[Como parece. Lisboa 18 de julho de 1753. Com  a rubrica de Vossa Majestade]","Residências (ordem para tirar residência, conhecimento de capítulos e queixas, julgamentos)","1","20/01/1752","","","Sobe","O Desembargador Diogo Cotrim de Souza satisfez o a Comissão que se lhe encarregou da residência do bacharel Caetano da Costa Matoso, ouvidor geral que foi de Vila rica e se expõe o motivo que há para se mandar tirar nova residência e vai a petição do mesmo Ouvidor e os mais se acusam."
"Informação do governador e vista ao Procurador da fazenda e ao da Coroa.Marquês de Penalva, Metello, Pardinho, Corte Rel, Bacalhao, Castelo Branco13 de março de 1753","4","Partes","LIVRO DE REGISTO de consultas de partes do Conselho Ultramarino,  Códice 63 (1751-1753), p. 198","13/03/1753","1753","Marquês de Penalva (Estevão de Meneses)Alexandre Metelo de Sousa MenesesRafael Pires PardinhoTomé Joaquim da Costa Corte RealFernando Jozé Marquez BacalhouDiogo Rangel de Almeyda Castellobranco","FazendaCoroa","05/04/1753","","Licença para se transportar ao Reino ou renovação","2","","","","Sobe","Sobre a licença que pede Cosme Joaquim da Costa para passar da Capitania das Minas para este reino com sua mulher"
"Informação do governador e vista ao Procurador da fazenda e ao da Coroa.Marquês de Penalva, Padrinho, Corte Real, Henriques, Bacalhau12 de maio de 1753","5","Partes","LIVRO DE REGISTO de consultas de partes do Conselho Ultramarino. Códice 63 (1751-1753), p. 218","12/05/1753","1753","Marquês de Penalva (Estevão de Meneses)Rafael Pires PardinhoTomé Joaquim da Costa Corte RealAntónio Freire de Andrade HenriquesFernando Jozé Marquez Bacalhou","FazendaCoroa","16/05/1753","","Licença para se transportar ao Reino ou renovação","","","","","Sobe","Pedro Teixeira de Carvalho morador na Vila de São José comarca do Rio das Mortes pede licença para se recolher a este reino com sua família"
"Sobre a licença que pede Felisberto Caldeira Brant para vir ao ReinoVista ao procurador da fazenda.Sem informação dos conselheiros;8 de outubro de 1751","6","Partes","LIVRO DE REGISTO de consultas de partes do Conselho Ultramarino. Códice 63 (1751-1753), p. 83","08/10/1751","1751","Sem assinaturas","Fazenda","22/10/1751","Como parece","Licença para se transportar ao Reino ou renovação","1","","","","Sobe","Sobre a licença que pede Felisberto Caldeira Brant para vir ao Reino"
"[Como parece e assim o mando ordenar. Lisboa, 22 de maio de 1753. Rubrica do rei]Os oficiais que serviram na câmara de Vila Rica fizeram petição a Vossa Majestade em que expõem que por ordem de 27 de maio de 1746 expedida por este Tribunal, fora servido mandar que não havendo dinheiro nas despesas da justiça se pagassem pelo rendimento da câmara a metade das custas que resultou da residência do Ouvidor Caetano Furtado de Mendonça ao escrivão que nela serviu Antônio José da Roza, cujo cumprimento foi obrigado pelo Ouvidor que servia “e porque o ouvidor que estava servindo  os obrigara a repô-las não obstante mostrarem os suplicantes foram pagas por ordem de Vossa Majestade”“Para Vossa Majestade seja servido mandar que o Ouvidor e Provedor não procedam contra os suplicantes à reposição das meias custas que pagaram por Vossa Majestade assim determinar [...] e mandando que observem a ordem expedida por onde satisfizeram as ditas custas, e se lhe faça entrega da mesma quantia que repuseram os suplicantes”.Por provisão se ordenou que o ouvidor informasse, dando a razão pela qual não cumpriu a ordem, o que satisfez em 4 de setembro de 1752, afirmando que achara as contas glozadas por seu antecessor Caetano da Costa Matoso, que os oficiais embargaram a gloza, mas foi desprezada mandando-se proceder na execução da sentença, da qual apelaram e por acordão da Relação da Bahia, a sentença foi confirmada. Mas que considerava que os oficiais apenas procederam aquela despesa em virtude da real provisão e, por isso, não deveriam ser multados.Deu-se vista ao Procurador da fazenda que disse “que é estranhável a confiança do ouvidor glozar no provimento que deu a Provisão do Conselho, e não era justo que os vereadores, que obedeceram a uma ordem passada em o Real nome de V.M. paguem da sua fazenda, que se dispendeu com tão justo título. Me pareceu nestes termos que Vossa Majestade se podia servir mandar, que se não procedesse contra os suplicantes sem embargo da postura e da sentença que a confirmou”.Mandou-se juntar o requerimento do escrivão e deu vista o Procurador da Coroa, que considerou que “o ouvidor não excedera a sua jurisdição em glozar a despesa de que se tratava não obstante a Provisão do Conselho que a mandava fazer porque além dos defeitos que lhe considera o Ouvidor de não caber no expediente do Conselho dispor dos bens da câmara em prejuízo das aplicações a que estão consignados, e não ser ouvido o Procurador da Fazenda nestes despachos, quando não houvesse tais defeitos na dita Provisão, sempre os vereadores excederam o que nela determinava porque não mostravam que nas despesas da justiça não houvessem com que satisfazerem esta despesa que era o caso em que a provisão mandava satisfazer pelos bens do Conselho, antes constava a gloza e não se impugnava, que algumas oitavas de ouro havia nas ditas despesas, senão aplicaram a este pagamento contra o que determinava a Provisão, e nestes termos entendia que o Ouvidor fizera o que devia pois era obrigado a glozar toda a despesa feita contra a formada Lei, ainda que por mandado do superior, quando este carece de jurisdição para a mandar fazer e muito mais quando esse mandado não foi executado na forma prescrita nele, principalmente sendo protesta do como fora  este pelo Procurador da câmara.Porém quando tudo visto faltava era indubitável que no expediente do Conselho não cabia mandar suspender a execução da sentença que passaram em julgado, e muito menos anular o que por ela se determinou, e como estava julgado na Relação da Bahia, que esta despesa fora feita como não devera, e que o ouvidor justamente a mandava restituir, confirmando a gloza do dito ouvidor, não podia ter lugar o despacho do conselho de 28 de fevereiro deste ano, que vinha junto pelo qual se mandava que sem embargo da gloza e sentenças  que a confirmaram se observe a dita provisão e que o mesmo fundamento se devia mandar levantar a suspensão determinada pela provisão de 20 de outubro de 1750 para se não proceder contra os vereadores, que certamente não observaram a provisão, quando fosse legítima, como ficava mostrado.Ao Conselho parece que ao Procurador da fazenda porque nem na provisão do Consleho houve falta de legitimidade, ou circunstâncias que a fizesse invalidade m se deixou d executar como nela se continha, euando houvsse uma e outra coisa não cabia na jurisdição e autoridade do Ouvidor refomá-la e tirar o seu efeito, faltando incivilizimamente (sic) ao respeito e atenção de um Tribunal Superior, e ao que mais religiosamente se deve ao Real nome de V.M. em que se tinha expedido a ordem, e quando nela encontrasse algum embaraço ou dúvida somente lhe era permitido o podê-lo representar por uma conta; nesta consideração, e na da injustiça com que se obrigavam os vereadores tinha determinado o Conselho mandar cumprir a Provisão sem embargo da postura do ouvidor e da sentença, e porque ainda que está bem certo que não pode mandar que senão cumpram as sentenças para o efeito de que se tratava, não era necessário derrogar as da Relação da Bahia pois só mandava de novo fazer esta despesa como podia fazerem ao princípio, porque a sentença que em certas circunstâncias entendeu que se não deva cumprir, e a primeira provisão do Conselho o não podia inibir para poder passar segunda agora porém entende o Conselho deve pedir a V.M. que conhecendo-se a pouca justiça da mesma sentença e a violência que nela são obrigados os suplicantes a pagar o que não devem aprovando-se o desatento feito do ouvidor se sirva V.M. declará-la, e de nenhum vigor e efeito.Lisboa, 21 de maio de 1753.Metello/ Lopes Carvalho, Pardinho, Bacalhao, CastelloBranco, Lopes da Costa.","7","Avulsos","AHU-Minas Gerais, cx. 62, doc. 82","21/05/1753","1753","Alexandre Metelo de Sousa MenesesFrancisco Lopes de CarvalhoRafael Pires PardinhoDiogo Rangel de Almeyda CastellobrancoFernando Jozé Marquez BacalhouAntónio Lopes da Costa","FazendaCoroa","22/05/1753","[Como parece e assim o mando ordenar. Lisboa, 22 de maio de 1753. Rubrica do rei]","Cumprir provisões e ordens na forma que obteve","2","31/08/1750","Sem resposta","","Sobe","1753, Maio, 21, LisboaCONSULTA do Conselho Ultramarino sobre o requerimento dos oficiais que serviram na Câmara de Vila Rica, no qual solicitam que o ouvidor e o provedor não procedessem contra as suas pessoas relativamente ao pagamento das meias custas.Nº de inventário no catálogo: 5094AHU-Minas Gerais, cx. 62, doc. 82AHU_CU_011, Cx. 62, D. 5230."
"Por portaria de 01/04/1754 pediu-se informação ao juiz da culpa.O procurador da Fazenda respondeu que este delito é de muito mal exemplo e merecia pouca piedade, mas na consideração de que os outros réus foram relevados da última pena e dilatada prisão do suplicante se conforma com o ministro da informação.O procurador da coroa disse que o crime de moeda falsa é dos que a lei expressa para se não perdoar, mas como V.M. “é lei animada fazendo-se-lhes presentes as circunstâncias ponderadas na informação poderá viar como o suplicante da sua inata piedade”.Ao Conselho parece o mesmo que ao Procurador da Fazenda. Aos conselheiros Lopes de Carvalho e Corte Real parece que o suplicante deve recorrer imediatamente a V.M. E ao marques presidente parece o mesmo que ao consleho, e acrescenta que o motivo da dilatada prisão é tão eficaz que as leis o mandam atender de justiça para se minorarem as penas aos réus com maior razão parece que eles devem ser atendidos de graça quando a imploram a V.M. principalmente tendo-se perdoado aos sócios do suplicante com maior crime e menos tempo de prisão.”Marques de Penalva, Metelo, Pardinho, Corte Real, Carvalho, Bacahau, Costa.","8","Partes","LIVRO DE REGISTO de consultas de partes do Conselho Ultramarino. Códice 64 (1753-1754), p. 124","13/05/1754","1754","Marquês de Penalva (Estevão de Meneses)Alexandre Metelo de Sousa MenesesRafael Pires PardinhoTomé Joaquim da Costa Corte RealFrancisco Lopes de CarvalhoFernando Jozé Marquez BacalhouAntónio Lopes da Costa","FazendaCoroa","08/06/1754","Como parece","Cartas de perdão","2","","","","Sobe","Sobre o requerimento de Manoel Rodrigues Veiga preso na cadeia desta corte e vai a cópia da informação que se acusa"
"Por aviso do secretário de estado de 03/03/1755.Vista ao procurador da FazendaAo conselho parece que não tendo dado causa o suplicante para ser removido do cargo, tem justa razão de esperar que lhe satisfaça. Lisboa, 06/05/1755. Marquês de Penalva, Metelo, Andrade, Carvalho, Bacalhau, Rangel, Costa","9","Partes","LIVRO DE REGISTO de consultas de partes do Conselho Ultramarino. Códice 65 (1754-1756), p. 83","06/05/1755","1755","Marquês de Penalva (Estevão de Meneses)Alexandre Metelo de Sousa MenesesAntónio Freire de Andrade HenriquesFrancisco Lopes de CarvalhoFernando Jozé Marquez BacalhouDiogo Rangel de Almeyda CastellobrancoAntónio Lopes da Costa","Fazenda","03/08/1756","","Mantimentos, ajudas de custo e ordenados (oficiais régios)","1","","","","Baixa","Satisfaz-se ao que Sua Majestade ordena sobre o requerimento de Feliz de Azevedo da Fonseca; e vai a certidão e documento que se acusa"
"Como parece. Lisboa, 23 de maio de 1755. Rubrica real]Por decreto de V.M. de 19 de dezembro [...] posto em uma petição, digo, representação de Maria da Conceição, mulher parda donzela e recolhida é V.M. servido que se veja neste Conselho e com efeito se lhe consulte logo o que parecer em a qual refere chegar justamente aflita aos reais pés de V.M. a expor o motivo de sua aflição de que só a piedade de V.M., que implorava a poderia aliviar dignando-se de a ouvir e atender.Que nascera a suplicante em Vila Rica do Ouro Preto das Minas geares, e criando-se seu pai Lourenço Mendes Coelho com públicas demonstrações de filha, destinando-a para o estado de religiosa quando [ilegível] apareceu estava em idade competente a remetera para este Reino com o dote de dois mil cruzados e ordem para se lhe assistir em o mais preciso no que tudo a suplicante conviera, tanto por [se] dever ao dito seu pai, como por não supor maliciosa a sua determinação, sendo que na verdade o era pois acometendo-o a morte pouco depois da ausência da suplicante, se viu no testamento com que faleceu que a deserdava, dispondo de todos os seus bens sem fazer menção dela como herdeira, e somente como lega[t]aria; e que chegando esta notícia a suplicante, quando ainda estava no [seculho] porque a mesma a desviara daquele Estado aconselhada de pessoas doutas intentara requerer a herança do dito seu pai que por não ter outro filho lhe competia fazendo para esse efeito citar o seu testamenteiro Ignacio Mendes de Vasconcellos para responder a um libelo no juízo da correição civel da Corte, mas como a posse do alheio fazia natureza nos que possuíam o que não era seu vendo-se o dito testamenteiro de posse do cabedal do pai da suplicante que importara em mais de setenta mil cruzados intentando com o uso de se melhorar de fortuna entrara a defendê-lo como próprio, e como sabia o direito que assistia a suplicante e que facilmente havia provar a filiação pretendera com embaraço e dilações vencer-lhe a constância ou quando não durante elas aproveitar-se do usufruto do dito cabedal.Que não tinha conseguido a primeira parte da ideia porque a suplicante esperançada na justiça e auxiliada de Deus por meios de pessoas caritativas, tem insistido na continuação da causa. Porém quanto a segunda parte tinha alcançado o premeditado efeito, pois sendo um pobre boticário quando por morte do pai da suplicante tomou posse dos seus bens, metendo-se em negócios grandes se achava hoje com reputação de rico: sendo o mesmo cabedal que pertence a suplicante, o que lhe faz a maior guerra, pois com ele tinha o suplicado adquirido forças e correspondências mediante as quais conseguira até o presente demorar na causa e [tais?] que principiando há oito anos ainda se achava na primeira instância, como se mostrava da certidão junta com o teor da sentença, que a suplicante alcançara a seu favor, a qual o suplicado embargara para conseguir, como conseguiu, a demora de mais dois anos que se lhe concederam para inquirição de testemunhas nas Minas Gerais de cujo procedimento se conclui evidentemente a malícia do suplicado em demorar a dita causa, pois concedendo-se lhe quatro anos de dilação para dar testemunhas nas mesmas Minas, e dando com efeito quinze, como constava da referida certidão, parece se devia julgar maliciosa esta última dilação, e que se dirigia somente a dilatar a causa por não se ver obrigado a largar o cabedal da suplicante que lhe está julgado na dita sentença, o que melhor se corroborava com as diligências que se tinham feito por parte do suplicado para a suplicante vir em ajuste chegando a prometer-lhe a quantia de [dois?] mil cruzados em paga da sua legítima que a suplicante não aceitara por querer o que direitamente era seu.E porque nestes termos em que se achava a causa tendo-se demorado oito anos se poderá dilatar outros tantos ou mais, e suposta a inconstância dos cabedais das Minas, ou por razão de sobrevir a morte ou outro incidente, não terá a suplicante em que se pague da sua legítima, como não achava remédio na justiça o buscava humildemente em V.M. para que conduido  seu desemparo, e das inclemências a que a suplicante está sujeita pela pessoa, pelo sexo, e notória pobreza lhe [achava?] como pai, e como Senhor mandando por seu decreto, ou por aviso do Secretário de Estado ao governador da capitania das Minas, ou ao ouvidor daquela comarca obriguem o suplicado a por em tempo breve no cofre do juízo dos ausentes a importância das duas partes do cabedal do pai da suplicante que lhe pertencem como declarava a sentença, e não o fazendo se proceda a sequestro em bens que bastem para satisfação da mesma importância tirando-se do poder do suplicado para se reduzirem a liquido por meio de rematação e se guardar a sua importância no mesmo cofre para a suplicante a receber finda a dita causa que por este meio será tão dilatada, pois vendo-se o suplicado desapossado do cabedal alheio não ordenará tantas demoras por cessar a ocasião que a estimula a intentá-las e a suplicante tendo segura a sua legítima não viera com receio de perdê-la, e achava com o seguro quem a ajude e favoreça com todo o preciso para a sua subsistência: continuando-se obrigada a rogar a Deus enquanto lhe durar a vida pela saúde e prosperidade de V.M., de cuja piedade esperava a graça pretendida.Com a dita súplica foram vistos os documentos [...].E para satisfazer ao que V.M. ordena mandou o Conselho por Portaria sua de 20 de dezembro do ano próximo passado ao Desembargador Francisco Xavier Morato Broa, Corregedor dos Feitos civeis da Corte, juiz desta causa informasse com o seu parecer e respondeu dizendo que quase tudo o que a suplicante relatava em sua petição é verdade e consta dos autos que pendiam naquele juízo, que mandara ir perante ele, e revera, e ainda que por eles se não justificava nem mostrava a importância do cabedal que ficara por morte do pai da suplicante, nem a pobreza ou riqueza do suplicado seu universal testamenteiro; contudo o temor que a suplicante tem é justificadissimo, porque a experiência de seis anos e meio em que servira a V.M. no lugar de ouvidor geral do Piauí lhe mostrava com evidência a grande inconstância que havia nos cabedais dos habitadores do Brasil e Minas, e o muito que os testamenteiro dissipavam os bens dos defuntos que lhes deixam encarregadas as testamentarias, usando dos ditos bens como se fossem seus, sem cuidarem na devida satisfação e cumprimento das últimas vontades, e que como a suplicante já tivera a primeira sentença a seu favor este bom direito que dela lhe resulta é segundo o mesmo direito suficiente para poder ter lugar neste caso o sequestro e segurança, que pretende, e lhe parecia estava nos termos de poder deferir na forma que a suplicante pede, e sendo V. M. assim servido.[...]Procuradores da Fazenda e Coroa se conformaram com o parecer do Ministro.Ao Conselho parece o mesmoAos conselheiros Francisco Lopes de Carvalho e Alexandre Metelo de Souza e Meneses parece que visto mostrar a suplicante o bom direito que tem na causa, e a demora que nela tem experimentado se acha em termos de se mandar por em sequestro a parte da herança que se lhe tem julgado e que estiver em ser, e que somente pela parte que [suplicado] tiver aliado ou reduzido a dinheiro é que pode ser obrigado a meter no sequestro a sua importância. Lisboa, 6 de maio de 1755. Marquês de Penalva, Metello, Andrade, Carvalho, Bacalhao, Rangel, Costa.","10","Partes","LIVRO DE REGISTO de consultas de partes do Conselho Ultramarino. Códice 65 (1754-1756), p. 90","06/05/1755","1755","Marquês de Penalva (Estevão de Meneses)Alexandre Metelo de Sousa MenesesAntónio Freire de Andrade HenriquesFrancisco Lopes de CarvalhoFernando Jozé Marquez BacalhouDiogo Rangel de Almeyda CastellobrancoAntónio Lopes da Costa","CoroaFazenda","23/05/1755","[Como parece. Lisboa, 23 de maio de 1755. Rubrica real]","Comissões; suspeições; admissões; avocação e/ou remessa de autos; apelações e agravos ordinários","2","","","","Baixa","Satisfaz-se ao que Sua Majestade ordena sobre o requerimento de Maria da Conceição e vão os documentos que se acusam"
