"1","1750","Mantimento e ajudas de custo (obras com auxílio da real fazenda)","13/01/1750","","Governador e capitão general de Minas Gerais","Ordem","","1","Fiscal da capitação e dos diamantes","Sim","Não","","1","Sim","SimConsulta","Fazenda","Livro de Registro de ordens de partes, do Conselho Ultramarino, Códice 193, p. 257","Partes","Belchior Isidoro Barreto","Para o governadorBelchior Isidoro Barreto, escrivão do Intendente dos Diamantes: sobre se lhe dar mais 1500 réis por ano. Por resolução de 15 de dezembro de 1749, tomada em Consulta, aprova o pedido. 13/01/1750","Tejuco","Resolução","Partes (individualmente)"
"2","1750","Comissões; suspeições; admissões; avocação e/ou remessa de autos; apelações e agravos ordinários","13/03/1750","","Vice-Rei e Capitão General do Estado do Brasil","Ordem","","2","Padres, párocos, vigários, capelães, curasCapitão-MorSem indicação","ConsultaNão","Não","","1","Sim","Consulta","FazendaCoroa","Livro de Registro de ordens de partes, do Conselho Ultramarino, Códice 193, p. 265","Partes","Francisco Alves de Araújo, José de Souza e o capitão mor Diogo de Souza Carvalho","Para o Conde de Attouguia, vice-reiSobre a petição de Francisco Álvares de Araújo, o p.e José de Souza e o capitão mor Dionízio de Souza de Carvalho, moradores no Rio das Velhas, Minas, acerca de um litígio que travam com um Francisco da Silva Coelho e outros sobre a quem pertence uma data de terra chamada do Cuiabá e os “Motivos porque devia dignar-me mandar que em qualquer estado que estivesse a causa ou passasse ainda nas Minas, ou na Relação desse Estado se remetessem nos próprios autos para o juízo dos feitos da fazenda desta Corte para nele se determinar a dita causa, e não deferindo o requerimento dos suplicante sobre o que foram ouvidos os Procuradores da Fazenda e Coroa, contudo sou servido ordenar-vos por resolução de 22 de dezembro de 1749 tomada em Consulta do Conselho Ultramarino façais sentencie esta causa na instância em que se achar no tempo preciso de [6 anos]. El Rey Nosso Senhor o mandou pelos desembargadores Bacalhao, Rangel CastelloBranco, conselheiros de seu conselho ultramarino e se passou por dias vias. Caetano Ricardo da Silva a fez em Lisboa a 13 de março de 1750 ","Vila Nova da Rainha","Resolução","Partes (3 ou mais indivíduos enquanto grupo restrito)"
"19","1754","Licença para se transportar ao Reino ou renovação","23/07/1754","","Governador e capitão general de Minas Gerais","Ordem de informe","1368","10","Sem indicação","Sim","Não","","1","Sim","Consulta (mas ordem pelo expediente)","","Livro de Registro de ordens de partes, do Conselho Ultramarino, Códice 194, p. 26","Partes","Francisco Machado Coelho","Para o GovernadorSobre a petição de Francisco Machado Coelho, moradores de vila Rica, pedindo licença para se transportarem ao reino.. Informe23/07/1754**Possivelmente erro de registro, já que o pedido é deferido em Consulta","Vila Rica","Resolução","Partes (individualmente)"
"23","1754","Queixa ou denúncia (contra magistrados régios)","29/07/1754","20/01/1752","Juiz Sindicante","Ordem","","733","Juiz de Fora","Não","Não","Sim","1","Indireta","Consulta","FazendaCoroa","Livro de Registro de ordens de partes, do Conselho Ultramarino, Códice 194, p. 27","Partes"," Silvério Teixeira","Desembargador da RelaçãoDom José etc. Faço saber a vós Desembargador Manoel da Fonseca Brandão e em vossa ausência ou impedimento a vós Desembargador Ignácio da Cunha de Toar, e na de ambos ao Desembargador que nomear o Governador da Capitania [...] que pela ordem de 6 de abril de 1752, fui servido ordenar ao Desembargador Diogo Cotrim de Souza tirasse residência ao bacharel Caetano da Costa Matoso [...]  outrossim que [...] tirasse residência ao dito Bacharel de todo o tempo que serviu o cargo de Provedor dos defuntos e ausentes [...] pelos capítulos inclusos a dita ordem vindos da Mesa da Consciência e Ordens na conformidade da minha resolução de 4 de dezembro de 1750 tomada em Consulta do meu Conselho Ultramarino com declaração que no interrogatório n. 12 quanto aos Provedores  se devia entender nos termos da minha resolução de 10 de junho de 1744 expressada na ordem de setembro do dito ano escrita ao Governador de Pernambuco o que também vai com esta cópia remetendo-se juntamente ao mesmo Desembargador Sindicante os capítulos inclusos nestes papéis que contra o dito ouvidor se ofereceram para proceder como fosse justiça nesta matéria. E porquanto o dito Desembargador Diogo Cotrim de Souza não executou as ordens que se lhe passava para na residência do mesmo Ouvidor Caetano da Costa Matoso conhecer de várias matérias que na mesma residência se mandavam averiguar sou servido ordenar-vos por resolução de 18 de julho do ano próximo passado tomada em Consulta do meu Conselho Ultramarino vades tirar nova residência em que examines todo o procedimento do sindicado tanto a respeito das matérias dos capítulos como das [ilegível] contas e informações do juiz de fora de Mariana Silvério Teixeira de que com esta se vos remetem cópia, com os próprios papéis que nela se acusam perguntando expressamente na mesma residência pelo arrombamento da cadeia da mesma cidade Mariana que o mesmo juiz de fora refere na carta de 20 de janeiro de 1752, e assim mais pela falta de cumprimento da ordem que proíbe levar-se [ouros] aos que tem cumprido a obrigação de aferirem os pesos e medidas e da restituição destas oitavas, e sobre o cumprimento da ordem que regula as propinas que deve levar os oficiais das comarcas a qual [devia] o sindicado apresentar ao sindicante o que não cumpriu e também se vos ordena informeis com o vosso parecer sobre os fatos de que o sindicado se queixa na petição de que se vos remete cópia com o próprio auto que ajuntou a ela. El Rey Nosso Senhor o mandou pelos conselheiros de seu Conselho Ultramarino abaixo assinados. Pedro Alexandrino de Abreu Bernardes a fez em Lisboa a 29 de julho de 1754. O secretário Joaquim Miguel Lopes de Lavre a fez escrever. Thomé Joaquim da Costa Corte Real, Antônio Lopes da Costa.","Mariana","Resolução","Juiz de Fora"
"50","1755","Mantimentos, ajudas de custo e ordenados (oficiais régios)","02/06/1755","","Provedor da Fazenda Real de Minas Gerais","Ordem","","34","Intendente dos Diamantes (nomeado)","SI","Não","","1","Sim","Consulta","Fazenda","Livro de Registro de ordens de partes, do Conselho Ultramarino, Códice 194, p. 101","Partes","bacharel Sancho de Andrade Castro e Lanções ","Para o Provedor da Fazenda Real das MinasO bacharel Sancho de Andrade Castro e Lanções representou que tendo sido nomeado Intendente dos Diamantes e capitação da Comarca do Serro Frio com o vencimento de ordenados e emolumentos que vencera Plácido de Almeida em uma e outra Intendência, chegando no Rio de Janeiro logo se lhe parara a Intendência da Capitação, reduzindo-se na forma da lei novíssima a Casa de Fundição que por isso ficaria o suplicante servindo somente a Intendência dos Diamantes, “mas ignorando o ordenado que devia vencer sentira o prejuízo que necessariamente lhe resultava da dita separação e ainda que quanto a este me tinha pedido lho compensasse com as mercês que fosse servido, quanto ao vencimento dos ordenados não fizera requerimento algum, e somente obtivera do General Gomes Freire de Andrade a portaria que juntava para poder cobrar por conta deles algum [dinheiro] enquanto eu não ordenava o que devia satisfazer-lhe. E porque eu fora servido prover a dita Intendência dos Diamantes em o Desembargador Thomás Robi de Barros Barreto a quem o suplicante fizera entrega no dia 7 de outubro de 1753 declarando-se lhe que com ela venceria o ordenado de 8 mil cruzados, e que pelas certidões que juntava constava que o suplicante desde o dia 7 de dezembro de 1750 em que embarcara, e principiara a vencer ordenado [até o] que fizera entrega do dito lugar somente cobrara por conta do que eu lhe arbitrasse, em conformidade da dita portaria, um conto duzentos sessenta mil seiscentos oitenta  e cinco réis [...]”, pedindo ao fim que lhe declarasse o que devia receber de acordo com o que fora arbitrado a seu sucessor. Foi servido declarara por resolução de 13 de maio do presente, tomada Consulta do Conselho ultramarino, que não deve vencer mais do que já fora ordenado. “ Lisboa, 2 de junho de 1755.","Tejuco","Resolução","Partes (individualmente)"
"67","1756","Mantimentos, ajudas de custo e ordenados (oficiais régios)","13/02/1756","","Provedor da Fazenda Real de Minas Gerais","","1374","46","Ouvidor Geral de comarca","Sim","Não","","1","Sim","Consulta","Fazenda","Livro de Registro de ordens de partes, do Conselho Ultramarino, Códice 194, p. 131, 132","Partes","Francisco Moreira de Matos","Para o provedor da FazendaSobre a petição do bacharel Francisco Moreira de Matos em que pede pagamento, informando que “fazendo petição ao mesmo governador para ser pago dos ordenados que [ilegível] lhe tocassem este lhe não deferiu por eu não haver declarado o salário ou ajuda de custo com que se devia assistir ao suplicante do tempo que serviu de Intendente [...]” e que era constante que seu antecessor o Dr. Plácido de Almeida tinha ordenado anual de 1600 réis por Intendente do ouro e 400[0] réis por Intendente dos Diamantes e que “parecia que ele suplicante devia ser de igual condição [...]”. Sendo ouvido o procurador da Fazenda, por resolução de 30 de janeiro do presente ano em consulta do Conselho Ultramarino foi servido fazer mercê ao suplicante [...]. Ordena que faça o pagamento. Lisboa, 13 de fevereiro de 1756","Sabará","Resolução","Partes (individualmente)"
"85","1757","Mantimentos, ajudas de custo e ordenados (oficiais régios)","13/02/1757","","Provedor da Fazenda Real de Minas Gerais","Ordem","","820","Intendente de Sabará","Não","Não","","1","Sim","Consulta","Fazenda","Livro de Registro de ordens de partes, do Conselho Ultramarino, Códice 194, p. 178","Partes","Bacharel Feliz de Azevedo da Fonseca","Para o provedor da FazendaSobre o que representou o Bacharel Feliz de Andrade da Fonseca que sendo nomeado para o  lugar de Intendente do Sabará em 1750 e tirando a carta do dito lugar fizera um empenho de 8 mil cruzados que chegavam a 10 com juros, mas que chegando naquela Vila não pudera entrar no lugar por ter sido determinado que ele seria ocupado pelo Bacharel Domingos Nunes Vieira. Pede pela real grandeza e piedade que seja pago do ordenado correspondente aos 3 anos. Foi ouvido o Procurador da Fazenda e determinado por resolução de 3 de agosto do ano passado, em Consulta do Conselho Ultramarino, que seja pago ao suplicante os ordenados correspondentes aos 3 anos pelos quais havia sido feita a mercê do lugar de Intendente. Lisboa 13 de fevereiro de 1757. Pagou de feitio desta 300 réis e de assinatura oitocentos réis. O secretário Joaquim Miguel, Azeredo Coutinho, Diogo Rangel.","Sabará","Resolução","Partes (individualmente)"
"96","1757","Contratos e condições","03/03/1757","","Governador e capitão general de Minas Gerais","Ordem de informe","","718","Sem indicação","PS","Não","","1","Indireta","Consulta","Fazenda","Livro de Registro de ordens de partes, do Conselho Ultramarino, Códice 194, p. 185","Partes","Pedro Taques de Almeida Paes Leme ","Para Gomes Freire de AndradeSobre o requerimento de Pedro Taques de Almeida Paes Leme na petição que com esta se lhe remete cópia para que mande passar carta da mercê dos direitos das passagens dos Rio Mogi e Sapucaí. Por resolução de 4 de outubro do ano passado, tomada em consulta do Conselho Ultramarino, ordena que informe, declarando o que houver sobre a matéria. Lisboa, 3 de março de 1757.","Sem especificação","Informação","Partes (individualmente)"
"106","1757","Comissões; suspeições; admissões; avocação e/ou remessa de autos; apelações e agravos ordinários","31/05/1757","","Chanceler da Relação da Bahia","Ordem","","83","Sargento-mor","SI","Não","","1","Sim","Consulta","FazendaCoroa","Livro de Registro de ordens de partes, do Conselho Ultramarino, Códice 194, p. 204","Partes","Antônio Francisco Ferreira","Para o Chanceler da Relação da BahiaSobre o que o que representou Antônio Francisco Ferreira que correndo causa cível com Carlos Fagundes de Faria e seu sócio João Álvares da Cruz se sentenciara esta na Relação, e que pondo-se em execução em Vila Rica se lhe opôs o suplicante com embargos, os quais sendo rejeitados apelara o suplicante para a Relação do Rio de Janeiro; na qual antes de se determinarem os embargos se mandara passar avocatória para se apensarem os autos principais dessa da Bahia em cuja Relação senão quisera cumprir por se dizer pertencia a mesma Relação a decisão dos embargos, e que requerendo a Relação do Rio lhe não dera providência alguma em cujos termos recorria a mim para que lhe determinasse a qual das duas Relações pertencia o conhecimento dos ditos embargos, e que ao tempo que se opuseram já a Relação do Rio tinha principiado o seu exercício o que tudo constava da certidão que oferecia; me pedia fosse servido mandar passar ordem a qualquer das duas Relações a quem competir a decisão para avocar a si os autos da outra, e se decidir a matéria dos embargos, não obstante qualquer dúvida em atenção ao gravíssimo prejuízo que o suplicante tem na demora. E visto o seu requerimento e o que sobre ele responderam os Procuradores de minha Fazenda e Coroa sou servido por resolução de 11 de março de 1757 tomada em consulta [...] que nessa Relação da Bahia se determine a apelação referida. Lisboa, 31 de maio de 1757. Pagou de feitio desta 300 réis e de assinatura 800. O secretário Joaquim Miguel, Andrade Henriques, Bacalhau.","Vila Rica","Resolução","Partes (individualmente)"
"128","1750","Licença para se transportar ao Reino ou renovação","03/12/1750","","Governador e capitão general de Minas GeraisMinistros e mais pessoas que toquem (provisão)","Provisão","1450","91","Sem indicação","Sim","Sim","","1","Sim","Consulta","Coroa","LIVRO DE REGISTO de provisões, do Conselho Ultramarino, Códice 102 (1750-1755), p. 24","Provisões","Manoel Rodrigues de Oliveira","Licença para vir ao reino a Manoel Rodrigues de Oliveira. vendo o que informou o governador de Minas e respondeu o Procurador da Coroa. Por resolução de 09 de outubro do presente, em consulta do Conselho Ultramarino concede a licença. Pelo que manda ao governador de Minas, ministros e mais pessoas que cumpram.  Se pagou de novo direito 2500 réis. 03/12/1750","Vila Rica","Resolução","Partes (2 indivíduos)"
